inference,Description,score,short rationale
Maintenance prioritization based on anomaly-to-usage ratio,"For each fixture, compute the ratio of anomaly alerts to total session hours from the logs, weighted by abnormal flow volume from history. High ratios with large abnormal volumes indicate fixtures that should be prioritized for inspection or replacement.",2,"Ranks fixtures by anomaly-to-usage ratio, mostly maintenance prioritization with limited personal detail."
Behavioral change after major anomalies,"Compare session patterns (duration and frequency), flow characteristics, and subsequent anomaly rates before and after major anomaly events. If users shorten sessions or avoid high-flow periods after an incident, it suggests behavioral adaptation triggered by the anomaly.",4,"Compares pre/post anomaly session habits, explicitly tracking behavioral changes."
Detection of policy enforcement gaps,"When usage policies limit session duration or total daily usage, anomalies aligned with sessions that violate these constraints and show high abnormal flow highlight where policy enforcement or user education is failing.",4,"Surfaces sessions violating duration or usage policies, exposing compliance and potential misuse."
Session-end anomaly association,"Check how often anomaly alerts occur just before the end of sessions in the usage logs. A high frequency suggests that visible abnormal behavior (e.g., spray irregularity) is prompting users to manually stop the session.",3,"Counts alerts near session end, hinting at user reactions to issues."
System resilience assessment under extreme sessions,"Analyze sessions at the high end of duration and total flow. If these extreme sessions rarely generate anomaly alerts and flow patterns remain stable, the system is resilient under intense use; frequent anomalies indicate the opposite.",2,"Assesses anomalies during extreme sessions, primarily system resilience with minimal personal info."
Temporal clustering of anomalies around cleaning routines,"If usage logs reveal regular cleaning windows (many long or high-flow sessions clustered), check whether anomaly alerts cluster in these periods with characteristic flow patterns. This reveals whether cleaning tasks push the system into abnormal operation.",4,"Clusters anomalies around cleaning windows, revealing routine cleaning schedules."
Detection of water hammer or pressure shocks during sessions,"Within sessions that trigger anomaly alerts, inspect flow history for very rapid spikes or oscillations superimposed on otherwise normal flow. These patterns suggest water hammer events impacting both user experience and infrastructure health.",2,"Detects pressure shocks within sessions, technical pattern with little behavioral insight."
Verification of automatic shutoff based on anomaly events,"For anomalies that should trigger auto-shutoff, check whether flow in the history quickly returns to baseline and the usage log session ends soon after the alert. Persistent flow and ongoing session entries reveal failures in shutoff logic.",2,"Checks flow drop after auto-shutoff during sessions, mostly system control with minor behavior cues."
"Classification of anomalies into leak, burst, or user-misuse types","Combine abnormal flow shapes (history), timing relative to sessions (logs), and the alert metadata to categorize anomalies as slow leaks (low, long flows without sessions), bursts (sudden high peaks possibly during or outside sessions), or misuse (extreme in-session behavior).",4,"Categorizes anomalies and can attribute misuse to user behavior alongside leak detection."
Long-term anomaly trend analysis normalized by usage,Examine anomaly frequency over time while normalizing by total session hours from usage logs. A rising anomaly-per-hour trend indicates worsening system health even if total water use or session count changes.,2,"Trends anomalies normalized by usage hours, aggregated system health not tied to individuals."
Detection of misconfigured or overly tight anomaly thresholds,"Frequent anomaly alerts during normal-looking flow patterns within typical sessions, especially when abnormal volumes are small, indicate that thresholds are too tight and should be relaxed to avoid alert fatigue.",2,"Finds frequent alerts during normal sessions, mainly tuning thresholds; minimal personal exposure."
Detection of overly loose anomaly thresholds,"If substantial abnormal flow segments are visible in the flow history within sessions but seldom produce alerts, and corresponding sessions are much longer or more intense than baseline, thresholds are too loose and need tightening.",2,"Spots large abnormal flows without alerts, focused on detection gaps rather than user identity."
Estimating hidden water loss from unlogged anomalies,"For anomalies that occur outside of any usage log sessions, integrate abnormal flow and compare with total daily usage; this proportion indicates how much of water loss is not tied to normal user behavior and would be hidden without anomaly monitoring.",3,"Estimates unlogged water loss outside sessions, revealing possible off-record use or occupancy."
Mapping anomalies to user groups or zones via session tags,"If usage logs are tagged with user, room, or zone information, associate anomalies to those tags based on overlapping sessions and flow patterns. This reveals which groups or zones are associated with more frequent or severe abnormal usage.",5,"Links anomalies to specific users or zones, directly associating abnormal events with people/places."
Event reconstruction during multi-session anomaly windows,"When anomalies overlap with multiple sessions and complex flow patterns, reconstruct their sequence by aligning alert timestamps, flow spikes, and individual session boundaries to understand which session or fixture initiated the abnormal event.",4,"Reconstructs overlapping events, potentially tying anomalies to specific users or precise times."
Cross-validation of manual maintenance reports,"Compare technician-reported incidents with windows of anomalies in the alert logs, abnormal flow segments, and unusual session patterns. Consistent alignment validates reports, while discrepancies suggest missing or misdated incident records.",2,"Matches anomalies with maintenance reports, operational cross-check with limited behavior detail."
Tailored user feedback on high-risk behavior,"Identify specific sessions where user-driven behavior (long duration, high flow) consistently corresponds with anomaly alerts. Aggregate these by user or fixture (if tagged in logs) to deliver targeted feedback about risky or wasteful usage patterns.",5,"Targets feedback to users showing risky patterns, clearly profiling individual behavior."
Automated detection of scheduler or automation misbehavior,"If system automations can open valves outside normal usage patterns, anomalies that recur at scheduled times without any corresponding session entries and with abnormal flow provide evidence that automation is misconfigured or malfunctioning.",2,"Flags automation-triggered anomalies on schedules, exposing system programming more than personal behavior."
Verification of successful repairs using post-maintenance data,"After maintenance, compare the frequency and severity of anomaly alerts, their flow signatures, and associated session patterns with pre-maintenance metrics. A significant reduction, especially for the same session types, indicates effective repairs.",2,"Compares anomalies before and after repairs, maintenance effectiveness with minimal user insight."
Resilience of usage patterns despite anomalies,"If users continue to run sessions with similar duration and flow after repeated anomalies, and anomaly severity stays constant, it suggests that anomalies are either not visible to users or not disruptive, informing whether user-facing alerts need redesign.",3,"Checks if users keep the same usage after anomalies, monitoring behavioral resilience."
Predictive identification of high-risk upcoming sessions,"Model the relationship between session parameters in usage logs (duration, start time, historical flow characteristics) and the likelihood of anomalies. For new sessions whose early flow patterns match historically high-risk profiles, the system can pre-emptively monitor more aggressively or warn users.",4,"Predicts which upcoming sessions are risky, inferring near-future user behavior and timing."
