inference,Description,score,short rationale
Chronic low-flow warm seepage detection,"Multiple anomaly alerts over time show slightly elevated temperatures and low but non-zero flows, all occurring without proximity; this pattern reveals chronic warm seepage that slowly wastes energy and water but is unlikely to be noticed by occupants.",3,"Identifies unattended warm seepage during absence."
Differentiating warm recirculation faults from real leaks,Anomalies with small repetitive flow pulses at warm temperature and no proximity may be due to misbehaving recirculation pumps; anomalies with more continuous warm flow and longer durations are more likely actual leaks.,2,"Separates recirculation faults from true leaks; low personal risk."
Time-of-day risk profiling for unattended anomalies,"By combining anomaly timestamps with typical proximity patterns and absence of regular flow, the system can determine which times of day (e.g., late night) carry higher risk of unattended leaks or hot anomalies when nobody is around.",3,"Profiles high-risk absent windows by time."
Temperature overshoot during high-flow anomalies with presence,"When anomaly alerts mark very high flow rates and temperature trends show overshoot above normal comfort levels while proximity indicates a user is present, the system can tag such events as control-loop failures under extreme demand that impact user comfort and safety.",4,"Links control overshoot to present users."
Cold-line contamination or backflow during anomalies,"Anomaly alerts where temperature unexpectedly rises above typical cold baseline yet not into comfort or hot ranges, combined with modest abnormal flow and possibly brief proximity, indicate potential cross-connection or backflow issues rather than pure leaks.",2,"Technical issue classification; limited personal data."
Thermal shock avoidance behavior during anomalies,"If, during anomaly alerts with rapid temperature changes, proximity data shows users quickly moving away or becoming absent while flow remains abnormal, it suggests behavioral avoidance of thermal shock even when water continues to flow.",3,"Shows avoidance behavior and timing."
Fixture-level resiliency scoring under abnormal conditions,"For each fixture, analyze anomaly events that coincide with presence and flow changes, and measure how quickly temperature returns to normal; shorter recovery times during similar anomalies mean higher resiliency scores for that fixture.",2,"Resiliency scoring with modest behavioral content."
Detection of valves that only leak under hot conditions,"Anomaly alerts with abnormal flow that occur primarily when temperature is high and no proximity is detected indicate valves that seal correctly when cold but leak when exposed to hot water, due to thermal expansion or material fatigue.",3,"Identifies leaks dependent on hot conditions during absence."
Differentiation between short high-temperature tests and long leaks,"Combine anomaly duration, temperature level, and proximity: short anomalies with brief presence and high temperature spikes suggest intentional tests, while long anomalies with no presence and stable warm temperatures indicate leaks.",3,"Separates intentional hot tests from unattended leaks."
Predictive identification of high-risk hot-leak windows,"Analyze historical hot-water leak anomalies (warm flow, no presence) together with temperature and system states to identify patterns; when similar temperature baselines and schedules recur, the system can label those future periods as high-risk windows for hot leaks.",4,"Predicts future hot leaks during known absence patterns."
Detection of gradually worsening hot-side failures,"Track the evolution of anomaly alerts that exhibit slowly increasing warm flow volumes without proximity; a monotonic increase suggests progressively worsening hot-side failures, such as deteriorating seals or joints, before catastrophic failure.",3,"Shows worsening hot-side fault during absence."
Context-aware escalation for anomalies near typical shower times,"During periods historically associated with showers (from usage logs in a broader system), anomaly alerts with extreme temperature and active proximity are more likely to disturb user comfort and should be escalated more than similar events at times rarely used for washing.",4,"Elevates anomalies during routine shower windows."
Validation of presence-linked safety temperature caps under anomalies,"When safety features cap maximum temperatures in the presence of a user, anomaly alerts with very high temperatures and concurrent proximity indicate that those caps are being exceeded or not applied correctly during abnormal conditions.",4,"Shows safety cap failures while users are present."
Estimating unobserved energy loss from no-presence hot anomalies,Summing the thermal energy (from elevated temperature and abnormal flow) across anomaly alerts where proximity shows no presence provides an estimate of energy lost to hot-water anomalies that nobody in the building directly experiences.,3,"Quantifies energy loss during absent hot anomalies."
