Inference,Description,Score,Short rationale
Pipe thaw event detection,Rising temperatures after freezing conditions reveal thaw transitions and high burst risk.,1,Thaw transitions with burst risk; structural.
Localized freeze progression mapping,Sequential sensor cooling identifies freeze spread direction.,1,Direction of freeze spread; purely physical.
Heater malfunction detection,Slow or incomplete heating indicates heater performance issues.,2,"Faulty heater; appliance status, weak user profiling."
Water recirculation pump status,Stable elevated temperatures indicate active recirculation.,2,Shows whether recirc is running; may imply schedule but mild.
Energy efficiency inference,Rapid temperature loss indicates poor thermal retention.,2,Poor thermal retention; building efficiency profile.
Standby heat loss detection,Fast cooling of hot lines when idle indicates poor insulation.,2,Loss from idle hot lines; property efficiency.
Thermal load analysis,Temperature curves reveal how effectively the system retains and distributes heat.,2,How system retains/distributes heat; mainly system-level.
Occupancy pattern inference,Hot-water temperature activity correlates with resident routines.,4,Explicitly infers resident routines from hot-water temperature activity.
Sleep-hour confirmation,Flat temperature readings during late hours imply inactivity.,4,Flat curves at late hours encode likely sleep/inactivity windows.
Travel/vacancy detection,Multiple days of stable temperature readings indicate absence.,4,Multi-day stability indicates absence/vacancy; strong occupancy signal.
Appliance schedule identification,Repeating temperature patterns reveal scheduled appliance cycles.,3,Repeating patterns reveal scheduled appliance cycles.
Shower duration inference,Duration of elevated temperature periods corresponds to shower length.,3,Elevated temperature duration gives shower times/lengths (daily routine).
Cross-line thermal interference,Cold-line warming during hot use indicates backflow or proximity heating.,1,Warming of cold line from proximity/backflow; hydraulic/installation.
Anomalous thermal spike signature,Sudden spikes signal thermostat drift or heating component issues.,1,"Component/thermostat issues, not user behavior."
Thermal noise floor analysis,Micro-fluctuations indicate micro-leaks or ultra-low flow.,2,Micro-fluctuations hint at micro-leaks/ultra-low flow.
Hidden cavity temperature buffering,Stable readings suggest pipe routing through insulated cavities.,1,Indicates routing through insulated cavities; structural.
Geothermal influence detection,Consistently warm underground pipes reflect geothermal soil heating.,1,Warm underground pipes from soil heating; location/soil info.
Thermal dampening coefficient inference,Heating/cooling curve shapes estimate material thermal properties.,1,Material property estimation; no user link.
Thermostatic mixer malfunction detection,Oscillating temperatures during hot water use indicate valve faults.,2,Faulty mixer behavior; appliance state.
Solar heating influence,Daytime warming in exposed pipes reveals solar radiation effects.,1,Daytime warming from sun; exposure only.
Hot-water backflow detection,Cold-line warming indicates backflow due to valve malfunction.,1,Backflow into cold line; plumbing issue.
Thermal asymmetry mapping,Uneven temperatures across sensors indicate inconsistent installation or thermal exposure.,1,Uneven sensor temps show inconsistent installation/exposure.
